"PA_Subzone","Subzone_Name","Latitude","Longitude","Planning_Area"
"SER_UPPER_PAYA_LEBAR","Upper Paya Lebar","1.34656679391","103.877047287","Serangoon"
"SLT_PULAR_PUNGGOL_BARAT","Pulau Punggol Barat","1.4251691934","103.878698312","Seletar"
"SLT_PULAU_PUNGGOL_TIMOR","Pulau Punggol Timor","1.41904061128","103.8910875","Seletar"
"SLT_SELETAR","Seletar","1.40899508421","103.881586529","Seletar"
"SLT_SELETAR_AEROSPACE_PARK","Seletar Aerospace Park","1.41235799025","103.866482994","Seletar"
"SMP_PULAU_SELETAR","Pulau Seletar","1.4435442755","103.864868488","Simpang"
"SMP_SIMPANG_NORTH","Simpang North","1.44716140515","103.845797553","Simpang"
"SMP_SIMPANG_SOUTH","Simpang South","1.4344660461","103.856393596","Simpang"
"SMP_TANJONG_IRAU","Tanjong Irau","1.45424160186","103.850927879","Simpang"
"STI_SENTOSA","Sentosa","1.24972128593","103.829669992","Southern Islands"
"STV_STRAITS_VIEW","Straits View","1.27125165978","103.858773194","Straits View"
"TAM_SIMEI","Simei","1.34067417214","103.954004608","Tampines"
"TAM_TAMPINES_EAST","Tampines East","1.35443512161","103.951233066","Tampines"
"TAM_TAMPINES_NORTH","Tampines North","1.36624467651","103.939025652","Tampines"
"TAM_TAMPINES_WEST","Tampines West","1.34852869264","103.93594924","Tampines"
"TAM_XILIN","Xilin","1.32924702779","103.969095689","Tampines"
"TAP_BIDADARI","Bidadari","1.34110393554","103.874944713","Toa Payoh"
"TAP_BOON_TECK","Boon Teck","1.33526864187","103.853025159","Toa Payoh"
"TAP_BRADDELL","Braddell","1.34053896496","103.849596891","Toa Payoh"
"TAP_JOO_SENG","Joo Seng","1.33659746641","103.882326553","Toa Payoh"
"TAP_KIM_KEAT","Kim Keat","1.33188761631","103.858636359","Toa Payoh"
"TAP_LORONG_8_TOA_PAYOH","Lorong 8 Toa Payoh","1.34126171105","103.857102043","Toa Payoh"
"TAP_PEI_CHUN","Pei Chun","1.33678993731","103.858606955","Toa Payoh"
"TAP_POTONG_PASIR","Potong Pasir","1.33305604285","103.86563786","Toa Payoh"
"TAP_SENNETT","Sennett","1.3332557183","103.873623257","Toa Payoh"
"TAP_TOA_PAYOH_CENTRAL","Toa Payoh Central","1.33264104361","103.845985926","Toa Payoh"
"TAP_TOA_PAYOH_WEST","Toa Payoh West","1.33992257032","103.841793723","Toa Payoh"
"TAP_WOODLEIGH","Woodleigh","1.34003589625","103.866300005","Toa Payoh"
"TGH_TENGAH","Tengah","1.36384254021","103.728753977","Tengah"
